Iteration,BestCost
0,13.922
1000,12.5794
2000,11.5501
3000,11.5501
4000,11.5501
5000,10.9913
6000,10.9913
7000,10.9913
8000,10.9913
9000,9.76038
10000,9.76038
11000,9.0513
12000,7.48449
13000,6.09036
14000,5.16864
15000,4.80763
16000,4.42312
17000,4.21202
18000,4.21202
19000,4.21202
20000,4.21202
21000,4.21202
22000,4.21202
23000,4.21202
24000,4.21202
25000,4.21202
26000,4.21202
27000,4.21202
28000,4.21202
29000,4.21202
30000,4.21202
31000,4.21202
32000,4.21202
33000,4.21202
34000,4.21202
35000,4.21202
36000,4.21202
37000,4.21202
38000,4.21202
39000,4.21202
40000,4.21202
41000,4.21202
42000,4.21202
43000,4.21202
44000,4.21202
45000,4.21202
46000,4.21202
47000,4.21202
48000,4.21202
49000,4.21202
50000,4.21202
51000,4.21202
52000,4.21202
53000,4.21202
54000,4.21202
55000,4.21202
56000,4.21202
57000,4.21202
58000,4.21202
59000,4.21202
60000,4.21202
61000,4.21202
62000,4.21202
63000,4.21202
64000,4.21202
65000,4.21202
66000,4.21202
67000,4.21202
68000,4.21202
69000,4.21202
70000,4.21202
71000,4.21202
72000,4.21202
73000,4.21202
74000,4.21202
75000,4.21202
76000,4.21202
77000,4.21202
78000,4.21202
79000,4.21202
80000,4.21202
81000,4.21202
82000,4.21202
83000,4.21202
84000,4.21202
85000,4.21202
86000,4.21202
87000,4.21202
88000,4.21202
89000,4.21202
90000,4.21202
91000,4.21202
92000,4.21202
93000,4.21202
94000,4.21202
95000,4.21202
96000,4.21202
97000,4.21202
98000,4.21202
99000,4.21202
99999,4.21202
